,actual,predicted,residual
2024-01-01,8.29660272,8.11189,0.18471288082763593
2024-01-02,5.29660272,7.3965716,2.099968916199951
2024-01-03,5.39260272,5.1240153,0.26858738873168964
2024-01-04,5.33260272,5.350229,0.017626066468506174
2024-01-05,5.40460272,5.280296,0.1243068711535642
2024-01-06,5.29660272,6.800281,1.5036783278210448
2024-01-07,8.29660272,7.4497905,0.8468122422473137
2024-01-08,8.27260272,9.541837,1.2692340185864257
2024-01-09,6.76060272,13.709991,6.949388735078125
2024-01-10,5.32060272,5.3405595,0.019956762574462772
2024-01-11,5.32060272,5.575714,0.2551113913281249
2024-01-12,5.36860272,5.5697594,0.2011566488964842
2024-01-13,6.79660272,6.1283503,0.6682524621264649
2024-01-14,8.29660272,7.490479,0.806123727537841
2024-01-15,6.77260272,8.303114,1.5305112173779296
2024-01-16,5.27260272,7.3035483,2.0309456160290527
2024-01-17,5.65660272,5.2786965,0.37790618298217815
2024-01-18,5.30860272,12.441546,7.132943720124512
2024-01-19,5.30860272,12.274228,6.965625376008301
2024-01-20,6.76060272,8.348952,1.5883495733959965
2024-01-21,8.28460272,8.334479,0.04987661197021431
2024-01-22,8.296602720000001,8.192947,0.10365533230468849
2024-01-23,5.24860272,6.0440106,0.7954079191906738
2024-01-24,5.29660272,5.0898466,0.20675610897705088
2024-01-25,5.44060272,5.486724,0.04612117984130837
2024-01-26,5.35660272,5.431967,0.07536406161621123
2024-01-27,6.74860272,7.266726,0.518123296998291
2024-01-28,8.248602720000001,8.194785,0.0538176018969736
2024-01-29,6.74860272,7.9886665,1.240063814423828
2024-01-30,5.29660272,5.8619657,0.5653629362805175
2024-01-31,5.29660272,5.678832,0.3822293341381835
2024-02-01,5.29660272,5.598944,0.30234146716430654
2024-02-02,5.30860272,5.718408,0.4098053877575687
2024-02-03,6.79660272,6.9335923,0.1369895994885253
2024-02-04,6.79660272,7.9498434,1.153240686677246
2024-02-05,4638.24360119,8.821209,4629.4223922361425
2024-02-06,4172.18260119,5.745883,4166.436718202024
2024-02-07,4108.224102975,5.141499,4103.082603932489
2024-02-08,2476.083102845,6.5267496,2469.5563532340993
2024-02-09,112.096102675,6.0420713,106.05403133253174
2024-02-10,3814.81360119,8.808551,3806.0050503553443
2024-02-11,4588.89760119,9.360165,4579.537436547666
2024-02-12,5622.80660122,9.677178,5613.129422837126
2024-02-13,7039.81260131,9.163917,7030.64868472217
2024-02-14,96.073102725,9.547391,86.52571178719482
2024-02-15,90.600102725,9.885513,80.71458941933594
2024-02-16,115.471102675,7.8317695,107.63933320859985
2024-02-17,4042.27760119,8.745518,4033.532083459287
2024-02-18,4077.11260119,10.06275,4067.049851327329
2024-02-19,4495.5106012,10.3759365,4485.134664691821
2024-02-20,6069.18660135,10.212048,6058.974553773096
2024-02-21,125.116102675,10.072201,115.04390189985351
2024-02-22,620.71010271,10.43157,610.2785326568994
2024-02-23,4831.078103005,6.9136467,4824.164456307002
2024-02-24,8636.863601415,8.834443,8628.029158322654
2024-02-25,6375.39460135,9.976258,6365.418343072107
2024-02-26,6420.117601285,9.843647,6410.273954281826
2024-02-27,9065.672601385,9.883926,9055.788674993399
2024-02-28,6214.175101395,9.688287,6204.486814613689
