,actual,predicted,residual
2024-01-01,8.29660272,8.22990978210897,0.06669293789102859
2024-01-02,5.29660272,7.564533944451548,2.267931224451548
2024-01-03,5.39260272,4.835799372302427,0.5568033476975733
2024-01-04,5.33260272,5.523622387238482,0.19101966723848207
2024-01-05,5.40460272,5.268340422190055,0.13626229780994503
2024-01-06,5.29660272,6.809335600237778,1.5127328802377775
2024-01-07,8.29660272,8.068727446838414,0.22787527316158496
2024-01-08,8.27260272,7.895308409516771,0.37729431048322937
2024-01-09,6.76060272,6.563844928197588,0.19675779180241193
2024-01-10,5.32060272,4.974471190229583,0.3461315297704175
2024-01-11,5.32060272,5.375597850374801,0.05499513037480064
2024-01-12,5.36860272,5.202999086452451,0.16560363354754948
2024-01-13,6.79660272,6.170501860844886,0.6261008591551143
2024-01-14,8.29660272,8.413418103596628,0.11681538359662902
2024-01-15,6.77260272,8.348574552003152,1.5759718320031517
2024-01-16,5.27260272,6.122851587139273,0.850248867139273
2024-01-17,5.65660272,4.235140380595237,1.4214623394047639
2024-01-18,5.30860272,4.88378616015461,0.42481655984538946
2024-01-19,5.30860272,4.78708355575621,0.5215191642437897
2024-01-20,6.76060272,5.989417849218151,0.7711848707818483
2024-01-21,8.28460272,7.71529389305605,0.5693088269439501
2024-01-22,8.296602720000001,7.313993617421039,0.9826091025789623
2024-01-23,5.24860272,6.236181450651423,0.987578730651423
2024-01-24,5.29660272,4.6459486437812725,0.6506540762187276
2024-01-25,5.44060272,5.076274431035972,0.36432828896402825
2024-01-26,5.35660272,4.9854940379399135,0.3711086820600862
2024-01-27,6.74860272,6.635216910912044,0.11338580908795581
2024-01-28,8.248602720000001,8.358922526887541,0.1103198068875404
2024-01-29,6.74860272,8.160127560909837,1.4115248409098369
2024-01-30,5.29660272,5.447513627881332,0.15091090788133155
2024-01-31,5.29660272,4.408480113166808,0.8881226068331918
2024-02-01,5.29660272,4.957723302938387,0.3388794170616132
2024-02-02,5.30860272,4.705692426541376,0.6029102934586232
2024-02-03,6.79660272,6.375378856609447,0.4212238633905532
2024-02-04,6.79660272,8.008213682680516,1.211610962680516
2024-02-05,4638.24360119,7.799057339950822,4630.444543850049
2024-02-06,4172.18260119,465.5574763796957,3706.6251248103044
2024-02-07,4108.224102975,1423.6432977850577,2684.5808051899426
2024-02-08,2476.083102845,1821.6334347980876,654.4496680469126
2024-02-09,112.096102675,1801.0494398457483,1688.9533371707485
2024-02-10,3814.81360119,1517.5531323378823,2297.260468852118
2024-02-11,4588.89760119,1226.0986027034214,3362.798998486579
2024-02-12,5622.80660122,3164.1985221996206,2458.608079020379
2024-02-13,7039.81260131,2628.810419211312,4411.002182098688
