,actual,predicted,residual
2024-01-01,8.29660272,7.78060272,0.5159999999999991
2024-01-02,5.29660272,5.86460272,0.5679999999999996
2024-01-03,5.39260272,6.81260272,1.42
2024-01-04,5.33260272,6.81260272,1.4800000000000004
2024-01-05,5.40460272,6.81260272,1.4080000000000004
2024-01-06,5.29660272,5.86460272,0.5679999999999996
2024-01-07,8.29660272,5.86460272,2.4319999999999995
2024-01-08,8.27260272,6.36460272,1.9080000000000004
2024-01-09,6.76060272,6.81260272,0.05200000000000049
2024-01-10,5.32060272,6.81260272,1.492
2024-01-11,5.32060272,6.81260272,1.492
2024-01-12,5.36860272,6.36460272,0.9959999999999996
2024-01-13,6.79660272,6.36460272,0.4320000000000004
2024-01-14,8.29660272,6.36460272,1.9319999999999995
2024-01-15,6.77260272,6.828602719999999,0.05599999999999916
2024-01-16,5.27260272,6.81260272,1.54
2024-01-17,5.65660272,6.36460272,0.7079999999999993
2024-01-18,5.30860272,6.81260272,1.5040000000000004
2024-01-19,5.30860272,6.81260272,1.5040000000000004
2024-01-20,6.76060272,6.81260272,0.05200000000000049
2024-01-21,8.28460272,6.828602719999999,1.4560000000000013
2024-01-22,8.296602720000001,6.81260272,1.4840000000000009
2024-01-23,5.24860272,6.828602719999999,1.5799999999999992
2024-01-24,5.29660272,6.81260272,1.516
2024-01-25,5.44060272,6.828602719999999,1.387999999999999
2024-01-26,5.35660272,6.81260272,1.4560000000000004
2024-01-27,6.74860272,6.81260272,0.06400000000000006
2024-01-28,8.248602720000001,6.81260272,1.4360000000000008
2024-01-29,6.74860272,6.81260272,0.06400000000000006
2024-01-30,5.29660272,6.828602719999999,1.5319999999999991
2024-01-31,5.29660272,6.81260272,1.516
2024-02-01,5.29660272,6.81260272,1.516
2024-02-02,5.30860272,6.828602719999999,1.5199999999999996
2024-02-03,6.79660272,6.828602719999999,0.03199999999999914
2024-02-04,6.79660272,6.828602719999999,0.03199999999999914
2024-02-05,4638.24360119,6.828602719999999,4631.41499847
