,actual,predicted,residual
2024-01-01,8.29660272,8.430435649336793,0.13383292933679414
2024-01-02,5.29660272,6.721675195368907,1.425072475368907
2024-01-03,5.39260272,5.845805146277299,0.4532024262772989
2024-01-04,5.33260272,5.8023266187770135,0.4697238987770138
2024-01-05,5.40460272,6.178812322700424,0.7742096027004246
2024-01-06,5.29660272,7.554777164988966,2.258174444988966
2024-01-07,8.29660272,10.053017692493624,1.7564149724936247
2024-01-08,8.27260272,9.34524131514418,1.0726385951441806
2024-01-09,6.76060272,7.0879232930249465,0.3273205730249469
2024-01-10,5.32060272,4.927789598445706,0.39281312155429404
2024-01-11,5.32060272,4.257559027116487,1.0630436928835127
2024-01-12,5.36860272,4.601433435980239,0.7671692840197615
2024-01-13,6.79660272,5.726775527973422,1.0698271920265778
2024-01-14,8.29660272,7.00791605756295,1.2886866624370494
2024-01-15,6.77260272,5.863301846432636,0.9093008735673642
2024-01-16,5.27260272,5.6923722869500075,0.41976956695000744
2024-01-17,5.65660272,3.7520305921974355,1.904572127802565
2024-01-18,5.30860272,3.914896119958587,1.3937066000414124
2024-01-19,5.30860272,3.4522241432207377,1.856378576779262
2024-01-20,6.76060272,4.552595133427406,2.2080075865725934
2024-01-21,8.28460272,5.894306659771236,2.3902960602287644
2024-01-22,8.296602720000001,6.103764705340398,2.1928380146596034
2024-01-23,5.24860272,4.8906120492008025,0.35799067079919755
2024-01-24,5.29660272,4.699850403610546,0.5967523163894537
2024-01-25,5.44060272,4.801079202878718,0.6395235171212823
2024-01-26,5.35660272,4.863470050380899,0.49313266961910074
2024-01-27,6.74860272,6.563249071421183,0.18535364857881742
2024-01-28,8.248602720000001,8.80706248754297,0.5584597675429688
2024-01-29,6.74860272,9.003933603992694,2.255330883992694
2024-01-30,5.29660272,8.92377168929918,3.6271689692991798
2024-01-31,5.29660272,8.320718199202702,3.0241154792027016
2024-02-01,5.29660272,8.526306083765919,3.2297033637659185
2024-02-02,5.30860272,8.394168868964563,3.0855661489645634
2024-02-03,6.79660272,10.11152043420184,3.3149177142018393
2024-02-04,6.79660272,12.23711172360693,5.4405090036069295
2024-02-05,4638.24360119,14.556388460139875,4623.68721272986
2024-02-06,4172.18260119,-5369.603317067753,9541.785918257752
2024-02-07,4108.224102975,-8098.828016074036,12207.052119049036
2024-02-08,2476.083102845,-10183.673841733234,12659.756944578236
2024-02-09,112.096102675,-10566.935541766026,10679.031644441025
2024-02-10,3814.81360119,-8636.063802830198,12450.877404020199
2024-02-11,4588.89760119,-11214.883434579328,15803.781035769327
2024-02-12,5622.80660122,-13904.054757684158,19526.861358904156
2024-02-13,7039.81260131,-17859.7333675961,24899.545968906103
2024-02-14,96.073102725,-22072.35760099581,22168.43070372081
2024-02-15,90.600102725,-18127.34023940052,18217.94034212552
2024-02-16,115.471102675,-15288.67966260973,15404.150765284729
2024-02-17,4042.27760119,-13286.476521545874,17328.754122735874
2024-02-18,4077.11260119,-16528.52798454337,20605.64058573337
2024-02-19,4495.5106012,-18217.482577724564,22712.993178924564
2024-02-20,6069.18660135,-19812.51981369913,25881.70641504913
2024-02-21,125.116102675,-22920.463576783404,23045.579679458406
2024-02-22,620.71010271,-19188.73956599536,19809.44966870536
2024-02-23,4831.078103005,-17615.102180801117,22446.18028380612
2024-02-24,8636.863601415,-20233.921895097843,28870.785496512843
