,consumption,true_change_point,trend
2002-01-01,858720153.2574874,0,baseline
2002-01-02,865783687.1572607,0,baseline
2002-01-03,865698156.9937929,0,baseline
2002-01-04,891995608.3739465,0,baseline
2002-01-05,909810169.7337965,0,baseline
2002-01-06,886001201.7686785,0,baseline
2002-01-07,880503296.141177,0,baseline
2002-01-08,868737098.1792393,0,baseline
2002-01-09,853033954.5654507,0,baseline
2002-01-10,851187058.2493521,0,baseline
2002-01-11,852940261.4974062,0,baseline
2002-01-12,862287837.1515176,0,baseline
2002-01-13,866783489.7938726,0,baseline
2002-01-14,872808272.3648714,0,baseline
2002-01-15,868622990.2651188,0,baseline
2002-01-16,868600021.7915026,0,baseline
2002-01-17,863436867.0765098,0,baseline
2002-01-18,861011543.948744,0,baseline
2002-01-19,850989296.6870497,0,baseline
2002-01-20,855045408.108259,0,baseline
2002-01-21,844925553.3612447,0,baseline
2002-01-22,842408544.2434207,0,baseline
2002-01-23,847246303.0344374,0,baseline
2002-01-24,842608758.3093147,0,baseline
2002-01-25,842079157.569773,0,baseline
2002-01-26,843970438.7230405,0,baseline
2002-01-27,846850113.149921,0,baseline
2002-01-28,849498707.1062138,0,baseline
2002-01-29,856264406.3766056,0,baseline
2002-01-30,857274663.3370149,0,baseline
2002-01-31,864344366.5353298,0,baseline
2002-02-01,871615054.4420761,0,baseline
2002-02-02,868994816.4370197,0,baseline
2002-02-03,869774806.036416,0,baseline
2002-02-04,878618739.5409737,0,baseline
2002-02-05,893105610.2379124,0,baseline
2002-02-06,895118522.7310277,0,baseline
2002-02-07,887180030.0183536,0,baseline
2002-02-08,875430313.7518412,0,baseline
2002-02-09,864817465.7702888,0,baseline
2002-02-10,863903787.5934181,0,baseline
2002-02-11,868979827.8496568,0,baseline
2002-02-12,885617916.478688,0,baseline
2002-02-13,862537824.1617174,0,baseline
2002-02-14,850869806.2988585,0,baseline
2002-02-15,845726643.7043855,0,baseline
2002-02-16,839475978.0891511,0,baseline
2002-02-17,835811012.1635911,0,baseline
2002-02-18,826009461.6019111,0,baseline
2002-02-19,826957277.3022454,0,baseline
2002-02-20,837671971.3787119,0,baseline
2002-02-21,834810171.536834,0,baseline
2002-02-22,833929652.4004372,0,baseline
2002-02-23,834153001.8444077,0,baseline
2002-02-24,839308490.5204017,0,baseline
2002-02-25,827683762.3326604,0,baseline
2002-02-26,821918099.5724512,0,baseline
2002-02-27,819500683.3851075,0,baseline
2002-02-28,827156023.3750123,0,baseline
2002-03-01,840493364.0861684,0,baseline
2002-03-02,838428724.9532058,0,baseline
2002-03-03,824985051.0744101,0,baseline
2002-03-04,856476452.1403294,0,baseline
2002-03-05,849631323.2564832,0,baseline
2002-03-06,828622924.327293,0,baseline
2002-03-07,820213006.7524499,0,baseline
2002-03-08,812203498.3801547,0,baseline
2002-03-09,812113892.6905224,0,baseline
2002-03-10,813954693.3316066,0,baseline
2002-03-11,828004942.2113585,0,baseline
2002-03-12,838730106.3634367,0,baseline
2002-03-13,864864823.9989067,0,baseline
2002-03-14,868967775.3951467,0,baseline
2002-03-15,871236013.819838,0,baseline
2002-03-16,811354444.0020504,0,baseline
2002-03-17,799165494.1085587,0,baseline
2002-03-18,839279042.3528844,0,baseline
2002-03-19,859207698.7418607,0,baseline
2002-03-20,832454776.7464341,0,baseline
2002-03-21,827134054.0756072,0,baseline
2002-03-22,825606045.363282,0,baseline
2002-03-23,817921824.3153135,0,baseline
2002-03-24,829097064.3501723,0,baseline
2002-03-25,819371837.1381056,0,baseline
2002-03-26,800442128.5579915,0,baseline
2002-03-27,821475549.8477352,0,baseline
2002-03-28,826562010.5719123,0,baseline
2002-03-29,819903665.8735129,0,baseline
2002-03-30,801704290.5929735,0,baseline
2002-03-31,790323316.5525987,0,baseline
2002-04-01,802156708.0827649,0,baseline
2002-04-02,830456644.6368163,0,baseline
2002-04-03,828568182.4662069,0,baseline
2002-04-04,807096552.805006,0,baseline
2002-04-05,800165244.087318,0,baseline
2002-04-06,787850188.0364573,0,baseline
2002-04-07,781952298.268309,0,baseline
2002-04-08,779459773.7362834,0,baseline
2002-04-09,780305853.0830024,0,baseline
2002-04-10,788726199.683499,0,baseline
2002-04-11,788349724.0228008,0,baseline
2002-04-12,780537110.0602252,0,baseline
2002-04-13,778948526.5259771,0,baseline
2002-04-14,789750855.3897928,0,baseline
2002-04-15,811660465.3893559,0,baseline
2002-04-16,812796732.003164,0,baseline
2002-04-17,797411293.395707,0,baseline
2002-04-18,774730645.2542695,0,baseline
2002-04-19,769407919.1962941,0,baseline
2002-04-20,768508816.6238917,0,baseline
2002-04-21,763067962.2266545,0,baseline
2002-04-22,777863189.5327858,0,baseline
2002-04-23,790789363.6876299,0,baseline
2002-04-24,784189892.2849256,0,baseline
2002-04-25,777733156.4365263,0,baseline
2002-04-26,771563457.4147178,0,baseline
2002-04-27,762475034.0613967,0,baseline
2002-04-28,759757314.0935763,0,baseline
2002-04-29,763277560.1052377,0,baseline
2002-04-30,768587986.5510697,0,baseline
2002-05-01,766991270.5587773,0,baseline
2002-05-02,770348203.3687922,0,baseline
2002-05-03,763473880.9268711,0,baseline
2002-05-04,759760668.2143514,0,baseline
2002-05-05,756396935.2749995,0,baseline
2002-05-06,791022297.6126983,0,baseline
2002-05-07,770823920.2140512,0,baseline
2002-05-08,746521766.554877,0,baseline
2002-05-09,759558108.3522285,0,baseline
2002-05-10,792163617.3292631,0,baseline
2002-05-11,743884592.0492774,0,baseline
2002-05-12,743527914.6883943,0,baseline
2002-05-13,756465592.7839468,0,baseline
2002-05-14,744967615.4715494,0,baseline
2002-05-15,766500721.2921691,0,baseline
2002-05-16,820494885.7560527,0,baseline
2002-05-17,839097952.0076756,0,baseline
2002-05-18,798975701.8206024,0,baseline
2002-05-19,737121778.0080491,0,baseline
2002-05-20,750618585.9495122,0,baseline
2002-05-21,760626951.6211877,0,baseline
2002-05-22,730130262.8488452,0,baseline
2002-05-23,743247656.7714498,0,baseline
2002-05-24,768414410.8484421,0,baseline
2002-05-25,748782330.2968974,0,baseline
2002-05-26,730826587.9631053,0,baseline
2002-05-27,730829146.3122128,0,baseline
2002-05-28,735970465.9272147,0,baseline
2002-05-29,728736875.1592885,0,baseline
2002-05-30,748231648.7912728,0,baseline
2002-05-31,828946869.4934925,0,baseline
2002-06-01,857948708.5916612,0,baseline
2002-06-02,809949982.9892017,0,baseline
2002-06-03,819260780.2465074,0,baseline
2002-06-04,877778297.480732,0,baseline
2002-06-05,886938819.6492877,0,baseline
2002-06-06,939132292.1286523,0,baseline
2002-06-07,917425938.8125504,0,baseline
2002-06-08,868971435.1852137,0,baseline
2002-06-09,803648372.304169,0,baseline
2002-06-10,811943174.2135998,0,baseline
2002-06-11,860739635.8357787,0,baseline
2002-06-12,913075583.1894121,0,baseline
2002-06-13,951768594.9713473,0,baseline
2002-06-14,1006718099.268327,0,baseline
2002-06-15,920908683.4638939,0,baseline
2002-06-16,904149091.2422231,0,baseline
2002-06-17,893063403.0065799,0,baseline
2002-06-18,891136727.9450858,0,baseline
2002-06-19,896941581.9804716,0,baseline
