,consumption,true_change_point,trend
2002-01-01,5993965688.671612,0,baseline
2002-01-02,6259854194.927212,0,baseline
2002-01-03,6234348351.75412,0,baseline
2002-01-04,6286336314.428033,0,baseline
2002-01-05,6390902562.325302,0,baseline
2002-01-06,6221367578.839319,0,baseline
2002-01-07,6330253784.422298,0,baseline
2002-01-08,6175416146.272665,0,baseline
2002-01-09,6138597699.174996,0,baseline
2002-01-10,6178997404.534876,0,baseline
2002-01-11,6131483590.641596,0,baseline
2002-01-12,6176190623.728474,0,baseline
2002-01-13,6168804279.271225,0,baseline
2002-01-14,6296663346.676799,0,baseline
2002-01-15,6269667168.30983,0,baseline
2002-01-16,6299151820.074097,0,baseline
2002-01-17,6184515615.297072,0,baseline
2002-01-18,6061268204.891695,0,baseline
2002-01-19,5984767315.530044,0,baseline
2002-01-20,6150330936.1958885,0,baseline
2002-01-21,6068415875.404315,0,baseline
2002-01-22,6189131991.206904,0,baseline
2002-01-23,6244292130.364824,0,baseline
2002-01-24,6145548763.221241,0,baseline
2002-01-25,6062808341.905727,0,baseline
2002-01-26,6063826597.814371,0,baseline
2002-01-27,6107313746.764681,0,baseline
2002-01-28,6166499559.446898,0,baseline
2002-01-29,6181016724.267024,0,baseline
2002-01-30,6224715252.723651,0,baseline
2002-01-31,6226011097.623251,0,baseline
2002-02-01,6212428737.852217,0,baseline
2002-02-02,6179737915.820549,0,baseline
2002-02-03,6192007806.475299,0,baseline
2002-02-04,6295297740.890493,0,baseline
2002-02-05,6351886959.782066,0,baseline
2002-02-06,6342968966.127212,0,baseline
2002-02-07,6251707807.639154,0,baseline
2002-02-08,6192931075.52553,0,baseline
2002-02-09,6176300470.969833,0,baseline
2002-02-10,6171824439.37201,0,baseline
2002-02-11,6332909039.614058,0,baseline
2002-02-12,6376450262.902951,0,baseline
2002-02-13,6231851553.917412,0,baseline
2002-02-14,6165707018.996024,0,baseline
2002-02-15,6087770482.707513,0,baseline
2002-02-16,6005534558.248277,0,baseline
