Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,9982433.166200241,9982433.16620024,6911027.238320865 
 01/01  02:00:00,10722239.498397999,10722239.498397999,7665234.268376296 
 01/01  03:00:00,9809588.771354817,9809588.771354817,8649059.542947996 
 01/01  04:00:00,10642421.608247653,10642421.608247653,8734451.604957849 
 01/01  05:00:00,9898272.407933796,9898272.407933796,8572204.753608285 
 01/01  06:00:00,12167075.938287111,12167075.938287113,9209506.263731731 
 01/01  07:00:00,16708541.8805537,16708541.8805537,10016559.950326186 
 01/01  08:00:00,12724560.461084351,12724560.461084351,10019321.263800684 
 01/01  09:00:00,10868912.226373183,10868912.22637318,6843741.009298404 
 01/01  10:00:00,9604349.075578654,9604349.075578652,2484182.230963955 
 01/01  11:00:00,9015926.534094915,9015926.534094915,0.0 
 01/01  12:00:00,8136314.121021952,8136314.121021952,0.0 
 01/01  13:00:00,8486029.866819067,8486029.866819067,0.0 
 01/01  14:00:00,7418712.937033791,7418712.937033793,0.0 
 01/01  15:00:00,7358114.093841275,7358114.093841275,0.0 
 01/01  16:00:00,7604267.433236297,7604267.433236297,0.0 
 01/01  17:00:00,12268060.862176431,12268060.862176431,0.0 
 01/01  18:00:00,16404058.963557646,16404058.963557646,820004.1413003084 
 01/01  19:00:00,17725767.75730872,17725767.75730872,2347678.00850653 
 01/01  20:00:00,17742835.128262438,17742835.128262438,3557104.8458678396 
 01/01  21:00:00,17348744.544901565,17348744.544901565,4295813.6462497115 
 01/01  22:00:00,15986379.923057351,15986379.923057351,5108609.704369248 
 01/01  23:00:00,15066948.203851966,15066948.203851966,6052174.809625761 
 01/01  24:00:00,12384937.272177834,12384937.272177832,5958490.423620639 
 01/02  01:00:00,10011726.43135895,10011726.43135895,7536177.899330566 
 01/02  02:00:00,10808071.048727488,10808071.048727488,9497147.996775711 
 01/02  03:00:00,9904592.752893865,9904592.752893865,10676549.532060068 
 01/02  04:00:00,10712222.220870774,10712222.220870774,10224501.584377209 
 01/02  05:00:00,9909823.194759486,9909823.194759486,8818711.31339735 
 01/02  06:00:00,12150038.9468658,12150038.9468658,8842107.714675711 
 01/02  07:00:00,16651872.43823393,16651872.43823393,8796796.487606846 
 01/02  08:00:00,12635454.431750163,12635454.431750163,8107808.365477342 
 01/02  09:00:00,10806191.463668535,10806191.463668535,5479920.329415333 
 01/02  10:00:00,9664152.85372703,9664152.853727028,3748968.793486872 
 01/02  11:00:00,9667314.816260535,9667314.816260533,2934396.8043421973 
 01/02  12:00:00,8702752.686318696,8702752.686318696,3023172.0017018085 
 01/02  13:00:00,7739785.164127158,7739785.164127156,3732448.335562931 
 01/02  14:00:00,7647566.127029314,7647566.127029314,4876809.462841193 
 01/02  15:00:00,7596229.302560961,7596229.302560961,5072698.35258124 
 01/02  16:00:00,7862504.288705142,7862504.288705142,5500855.684970693 
 01/02  17:00:00,12543017.75212673,12543017.75212673,5846555.706847157 
 01/02  18:00:00,16648572.383093767,16648572.383093767,6020362.675356742 
 01/02  19:00:00,18837428.87196833,18837428.87196833,5636048.954230691 
 01/02  20:00:00,17763986.376965147,17763986.376965147,6365606.693205149 
 01/02  21:00:00,16634043.975189833,16634043.975189831,6856752.263044417 
 01/02  22:00:00,16120013.220579956,16120013.220579956,7947172.161947755 
 01/02  23:00:00,15192264.365794148,15192264.365794152,8714061.706937382 
 01/02  24:00:00,12543161.786335476,12543161.786335476,9330343.756234972 
 01/03  01:00:00,11022168.825916797,11022168.825916797,10368697.793169755 
 01/03  02:00:00,9971999.440652058,9971999.440652058,10306175.176482521 
 01/03  03:00:00,10776603.902675256,10776603.902675256,10693773.51381741 
 01/03  04:00:00,9866438.392739885,9866438.392739885,10766747.102123875 
 01/03  05:00:00,10931537.729606919,10931537.729606919,11971555.660916023 
 01/03  06:00:00,12400430.03518404,12400430.03518404,14189147.863952834 
 01/03  07:00:00,15946432.627412805,15946432.627412805,14342344.850530325 
 01/03  08:00:00,12875580.67357731,12875580.67357731,13209941.292535312 
 01/03  09:00:00,10991052.733869068,10991052.73386907,9418723.51427333 
 01/03  10:00:00,9800712.649747279,9800712.649747279,6649340.364440844 
 01/03  11:00:00,9707079.500945762,9707079.500945762,3776519.524486122 
 01/03  12:00:00,8594126.25718464,8594126.25718464,685609.6215142842 
 01/03  13:00:00,7564300.054731371,7564300.054731371,0.0 
 01/03  14:00:00,8334556.907555811,8334556.907555811,0.0 
 01/03  15:00:00,6448884.132788574,6448884.132788574,0.0 
 01/03  16:00:00,7993882.413842364,7993882.413842363,0.0 
 01/03  17:00:00,11902142.588177662,11902142.588177662,541045.8431528083 
 01/03  18:00:00,17450902.255320612,17450902.25532061,3006440.890436532 
 01/03  19:00:00,17806425.639679465,17806425.639679465,4052656.2348123267 
 01/03  20:00:00,17727236.513226554,17727236.513226554,5571652.39302776 
 01/03  21:00:00,17580535.119703345,17580535.11970334,6872377.996966824 
 01/03  22:00:00,16103766.854763698,16103766.854763696,7618599.69617011 
 01/03  23:00:00,14226095.295627534,14226095.295627534,7760386.355255509 
 01/03  24:00:00,12472033.214422913,12472033.214422911,7813741.27156557 
 01/04  01:00:00,10945680.629806805,10945680.629806805,8736454.745568397 
 01/04  02:00:00,10777640.371713059,10777640.371713059,8847319.865944399 
 01/04  03:00:00,9815627.2709982,9815627.2709982,8777927.800655523 
 01/04  04:00:00,9806982.846625106,9806982.846625108,9497900.022326928 
 01/04  05:00:00,10865453.295094905,10865453.295094904,10561593.524311163 
 01/04  06:00:00,12275035.148553042,12275035.148553044,11505142.288994085 
 01/04  07:00:00,16805580.146253243,16805580.146253243,12037014.047872018 
 01/04  08:00:00,12826439.443384573,12826439.443384573,12152708.474194944 
 01/04  09:00:00,10143201.278544359,10143201.278544359,11984074.269818967 
 01/04  10:00:00,11050661.23517704,11050661.23517704,12924438.914121635 
 01/04  11:00:00,9248745.164624516,9248745.164624514,14187636.678641295 
 01/04  12:00:00,9287245.942734737,9287245.942734735,15457287.735499527 
 01/04  13:00:00,9216861.239984162,9216861.239984162,15580234.767451683 
 01/04  14:00:00,8157085.202949357,8157085.202949357,15744099.906210944 
 01/04  15:00:00,8102061.896760614,8102061.896760612,15863025.324657178 
 01/04  16:00:00,8362830.9838351365,8362830.9838351365,16171676.963625263 
 01/04  17:00:00,12762578.215163961,12762578.215163961,16045013.629788976 
 01/04  18:00:00,17357751.1891746,17357751.189174596,15517577.284611234 
 01/04  19:00:00,18391879.40422654,18391879.40422654,16526467.465864673 
 01/04  20:00:00,18302846.19786314,18302846.19786314,17304491.499841347 
 01/04  21:00:00,18066437.63305544,18066437.633055437,17765806.509426937 
 01/04  22:00:00,16593751.104409745,16593751.104409745,18051385.932008103 
 01/04  23:00:00,15697460.402627014,15697460.402627012,19491248.416179083 
 01/04  24:00:00,13050643.425863666,13050643.425863666,20160934.49513128 
 01/05  01:00:00,11228883.892515322,11228883.892515322,21192841.31851533 
 01/05  02:00:00,10823870.68340937,10823870.68340937,22103463.53150797 
 01/05  03:00:00,10468124.964357048,10468124.964357048,22702949.886809375 
 01/05  04:00:00,11272424.889845854,11272424.889845854,22179480.283240233 
 01/05  05:00:00,10528371.175125716,10528371.175125716,22019208.994250663 
 01/05  06:00:00,12796279.204453154,12796279.204453155,22628908.52272267 
 01/05  07:00:00,17290948.288685646,17290948.288685646,22383731.496374227 
 01/05  08:00:00,13269903.216763627,13269903.216763627,21604811.911045756 
 01/05  09:00:00,11596316.358130066,11596316.358130066,22296553.268445063 
 01/05  10:00:00,10515311.170783946,10515311.170783946,21874509.92104353 
 01/05  11:00:00,10412961.817957873,10412961.817957874,18819993.89876153 
 01/05  12:00:00,9496112.34753071,9496112.34753071,19930861.349573933 
 01/05  13:00:00,8394357.47492221,8394357.47492221,17694286.841442607 
 01/05  14:00:00,8238173.602542521,8238173.60254252,17474001.603129994 
 01/05  15:00:00,7955539.99646534,7955539.99646534,12728292.77857792 
 01/05  16:00:00,8162502.484121049,8162502.484121049,11895671.247204155 
 01/05  17:00:00,12977486.214837141,12977486.21483714,15095577.996514995 
 01/05  18:00:00,18090408.16057671,18090408.16057671,17477573.694979478 
 01/05  19:00:00,18549380.794799767,18549380.794799767,19028791.411983542 
 01/05  20:00:00,18420484.84338153,18420484.84338153,20342728.658235464 
 01/05  21:00:00,18214840.96098087,18214840.96098087,20382789.541282907 
 01/05  22:00:00,16704481.59587818,16704481.595878178,20429872.474036843 
 01/05  23:00:00,14812249.014004866,14812249.014004864,20256219.936240945 
 01/05  24:00:00,13104232.968137575,13104232.968137575,21304545.31062881 
 01/06  01:00:00,11579419.614103798,11579419.614103798,22261638.345662747 
 01/06  02:00:00,11382595.080605946,11382595.080605946,21758386.18064625 
 01/06  03:00:00,10430241.946447738,10430241.946447738,21894484.406476732 
 01/06  04:00:00,10355599.481634866,10355599.481634866,21205985.48699214 
 01/06  05:00:00,11375176.257478058,11375176.257478058,21439083.185789373 
 01/06  06:00:00,12720960.933370622,12720960.933370624,21020762.619128566 
 01/06  07:00:00,17201776.129520696,17201776.129520696,20465574.655743584 
 01/06  08:00:00,13147601.012233147,13147601.012233147,18976784.70892805 
 01/06  09:00:00,10288917.591949552,10288917.591949552,15062266.106331442 
 01/06  10:00:00,10957501.606419025,10957501.606419025,10911548.284837473 
 01/06  11:00:00,8955760.759436592,8955760.759436592,7919163.214437095 
 01/06  12:00:00,8791870.550601022,8791870.55060102,4872941.634657574 
 01/06  13:00:00,8640022.150346428,8640022.150346428,3259008.5477398587 
 01/06  14:00:00,7437861.516644448,7437861.516644448,388050.45886132406 
 01/06  15:00:00,7358930.15025628,7358930.15025628,0.0 
 01/06  16:00:00,7605289.710023319,7605289.710023319,0.0 
 01/06  17:00:00,12282581.77154771,12282581.77154771,4101083.889849984 
 01/06  18:00:00,16851236.390295755,16851236.390295755,6415089.298272882 
 01/06  19:00:00,17942683.823972605,17942683.823972605,6915409.696206551 
 01/06  20:00:00,18200116.92987587,18200116.92987587,6887151.5830112705 
 01/06  21:00:00,17222771.115823634,17222771.115823634,7881246.0241458565 
 01/06  22:00:00,16199030.65084099,16199030.65084099,9613114.880432718 
 01/06  23:00:00,15301555.781327164,15301555.781327166,11029290.530835262 
 01/06  24:00:00,12714757.943252262,12714757.94325226,12988826.913907018 
 01/07  01:00:00,11183524.824802514,11183524.824802514,13812482.445805589 
 01/07  02:00:00,10162519.468461754,10162519.468461754,14372083.182145953 
 01/07  03:00:00,10938932.28473365,10938932.28473365,14158124.503879342 
