Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,11056245.109092321,11056245.109092321,6651835.595999954 
 01/01  02:00:00,11796868.142058732,11796868.14205873,7408999.057518972 
 01/01  03:00:00,10878265.462824685,10878265.462824685,8249736.449501504 
 01/01  04:00:00,11714751.44462024,11714751.44462024,8410029.01453506 
 01/01  05:00:00,10970503.619694779,10970503.619694779,8248757.757575119 
 01/01  06:00:00,13239858.64713497,13239858.64713497,8885660.103478003 
 01/01  07:00:00,17782078.954681076,17782078.95468108,9693336.434788346 
 01/01  08:00:00,13798401.096469805,13798401.096469808,9702450.341081928 
 01/01  09:00:00,11940741.635831993,11940741.635831993,6544300.167234963 
 01/01  10:00:00,10672778.91401942,10672778.914019419,2195264.3652366586 
 01/01  11:00:00,10091021.602212481,10091021.602212481,0.0 
 01/01  12:00:00,9221087.145375486,9221087.145375486,0.0 
 01/01  13:00:00,9565994.13090818,9565994.13090818,0.0 
 01/01  14:00:00,8498706.11762276,8498706.11762276,0.0 
 01/01  15:00:00,8438085.243316554,8438085.243316554,0.0 
 01/01  16:00:00,8684236.650451127,8684236.650451127,0.0 
 01/01  17:00:00,13348016.84628575,13348016.84628575,0.0 
 01/01  18:00:00,17466564.971014965,17466564.971014965,439246.415115485 
 01/01  19:00:00,18793184.216723293,18793184.216723293,2039545.1703833842 
 01/01  20:00:00,18773678.445048433,18773678.445048433,3265072.465576985 
 01/01  21:00:00,18458854.19758447,18458854.19758447,4047710.259496524 
 01/01  22:00:00,17057457.666115526,17057457.66611553,4826079.975425462 
 01/01  23:00:00,16139005.390363976,16139005.390363974,5772462.738137173 
 01/01  24:00:00,13458059.213867623,13458059.21386762,5702782.026024242 
 01/02  01:00:00,11224386.027625998,11224386.027625998,7157367.620900163 
 01/02  02:00:00,12023549.617329359,12023549.617329359,9140627.291844593 
 01/02  03:00:00,11121192.400937099,11121192.400937099,10321353.371259576 
 01/02  04:00:00,11928029.797591448,11928029.797591448,9861228.9977359 
 01/02  05:00:00,11124242.679071851,11124242.679071851,8452702.209839739 
 01/02  06:00:00,13364273.715809837,13364273.715809835,8471858.47071924 
 01/02  07:00:00,17865880.793278456,17865880.793278456,8422801.954714412 
 01/02  08:00:00,14636190.808738535,14636190.808738535,7635197.449562466 
 01/02  09:00:00,12802882.667385831,12802882.667385831,4973022.019333153 
 01/02  10:00:00,11646608.95246307,11646608.95246307,2977244.1706703277 
 01/02  11:00:00,11659661.580380112,11659661.580380112,2383662.5451655583 
 01/02  12:00:00,10694607.73552279,10694607.73552279,2461056.835060075 
 01/02  13:00:00,9735790.283057261,9735790.283057261,3243891.336975037 
 01/02  14:00:00,9642131.054493662,9642131.054493662,4336579.089745505 
 01/02  15:00:00,9591340.76113804,9591340.76113804,4540232.531469382 
 01/02  16:00:00,9856160.965618443,9856160.96561844,4929900.894303814 
 01/02  17:00:00,14535538.985872898,14535538.985872898,5245356.645029176 
 01/02  18:00:00,18626899.012576673,18626899.01257667,5119255.89112832 
 01/02  19:00:00,20826127.41641008,20826127.416410074,4958917.685805988 
 01/02  20:00:00,19321696.41208867,19321696.41208867,5695903.885148717 
 01/02  21:00:00,18192908.11122178,18192908.11122178,6201963.343576839 
 01/02  22:00:00,17679883.000720233,17679883.000720233,7292988.656541346 
 01/02  23:00:00,16752798.068994602,16752798.0689946,8059398.6733585335 
 01/02  24:00:00,14103978.544858294,14103978.544858295,8669966.329312827 
 01/03  01:00:00,12225600.04147714,12225600.041477138,9743555.482304383 
 01/03  02:00:00,11176386.22261572,11176386.222615719,9702176.82073608 
 01/03  03:00:00,11981931.027570194,11981931.027570194,10102236.535627939 
 01/03  04:00:00,11072308.569099054,11072308.569099054,10185174.83523075 
 01/03  05:00:00,12138853.801754663,12138853.801754663,11397705.766088285 
 01/03  06:00:00,13610000.731255926,13610000.731255926,13620964.520422159 
 01/03  07:00:00,17156614.8420947,17156614.8420947,13783300.235043129 
 01/03  08:00:00,14872041.881393777,14872041.881393777,12553300.46155718 
 01/03  09:00:00,12985181.637679258,12985181.637679258,8784340.803130053 
 01/03  10:00:00,11783790.58780059,11783790.587800588,5835697.902042207 
 01/03  11:00:00,11696783.74727768,11696783.747277679,3155246.243668556 
 01/03  12:00:00,10590609.611496538,10590609.611496536,264562.85069205944 
 01/03  13:00:00,9580239.7401632,9580239.7401632,0.0 
 01/03  14:00:00,10350470.93417583,10350470.93417583,0.0 
 01/03  15:00:00,8464838.863584485,8464838.863584485,0.0 
 01/03  16:00:00,9857877.650744766,9857877.650744768,0.0 
 01/03  17:00:00,14046051.206574533,14046051.206574533,0.0 
 01/03  18:00:00,19428530.96929999,19428530.96929999,2146873.7208482577 
 01/03  19:00:00,19798707.8088429,19798707.808842897,3480571.241650318 
 01/03  20:00:00,19284287.683552824,19284287.683552824,4901342.488474678 
 01/03  21:00:00,19139389.110784207,19139389.110784207,6217020.222868263 
 01/03  22:00:00,17663035.4845448,17663035.484544795,6958284.7565803295 
 01/03  23:00:00,15783570.386861894,15783570.386861894,7058664.383261351 
 01/03  24:00:00,14028505.724518297,14028505.724518295,7090976.013661269 
 01/04  01:00:00,12359157.846796412,12359157.846796412,8017310.707375628 
 01/04  02:00:00,12191145.291498194,12191145.291498194,8126676.147337355 
 01/04  03:00:00,11228968.637069587,11228968.637069587,8055052.757471988 
 01/04  04:00:00,11220783.694465052,11220783.694465052,8771144.68732066 
 01/04  05:00:00,12280144.10790997,12280144.10790997,9833634.295305377 
 01/04  06:00:00,13690707.797250142,13690707.797250142,10780159.989493828 
 01/04  07:00:00,18222076.629855525,18222076.629855525,11319789.752340823 
 01/04  08:00:00,14243490.0724123,14243490.072412299,11444923.137255376 
 01/04  09:00:00,11560868.794499055,11560868.794499055,11291209.74049287 
 01/04  10:00:00,13184166.45902239,13184166.459022388,12127924.172923245 
 01/04  11:00:00,11381382.149914999,11381382.149914999,13349018.937311396 
 01/04  12:00:00,11419722.849253958,11419722.849253956,14591494.90087885 
 01/04  13:00:00,11348451.279421046,11348451.279421046,14693562.927821219 
 01/04  14:00:00,10288035.660917124,10288035.660917124,14840847.520599902 
 01/04  15:00:00,10232410.765739951,10232410.765739951,14944942.515223155 
 01/04  16:00:00,10492782.826419914,10492782.826419914,15239493.15298812 
 01/04  17:00:00,14717606.311626524,14717606.311626524,15101950.13524552 
 01/04  18:00:00,19664322.04330166,19664322.04330166,14568277.211811777 
 01/04  19:00:00,20520887.503210407,20520887.50321041,15568293.350965109 
 01/04  20:00:00,20406899.59861904,20406899.598619036,16335448.88797267 
 01/04  21:00:00,20220560.131837826,20220560.131837826,16787597.236465625 
 01/04  22:00:00,18722762.829070814,18722762.829070814,17064512.861015037 
 01/04  23:00:00,17827236.281343654,17827236.281343654,18493372.49295177 
 01/04  24:00:00,15180558.592223262,15180558.59222326,19153118.637686882 
 01/05  01:00:00,12067902.750808809,12067902.750808809,20298118.636103768 
 01/05  02:00:00,12818304.50924444,12818304.50924444,21259783.91433038 
 01/05  03:00:00,11889362.482185693,11889362.482185693,21884279.565369494 
 01/05  04:00:00,12694255.582865238,12694255.582865238,21383161.791719094 
 01/05  05:00:00,11950954.431736024,11950954.431736024,21241542.391044855 
 01/05  06:00:00,14220241.240445457,14220241.24044546,21868912.145555757 
 01/05  07:00:00,18715502.50310096,18715502.503100958,21641241.423366368 
 01/05  08:00:00,14694643.605446335,14694643.605446333,20879275.56417051 
 01/05  09:00:00,13022413.143971533,13022413.14397153,21586128.80214971 
 01/05  10:00:00,12656047.043285409,12656047.043285407,21061490.206013 
 01/05  11:00:00,12550622.301986516,12550622.301986516,17999850.527509674 
 01/05  12:00:00,11633016.830574937,11633016.830574937,19073927.991880957 
 01/05  13:00:00,10529766.62483317,10529766.62483317,16847855.45287527 
 01/05  14:00:00,10372638.713154132,10372638.713154132,16611931.484519958 
 01/05  15:00:00,10089547.308506105,10089547.308506105,11945054.750012675 
 01/05  16:00:00,10296664.234754715,10296664.234754715,11131863.127090905 
 01/05  17:00:00,15109819.094949089,15109819.094949089,14233579.78435197 
 01/05  18:00:00,20079648.545784883,20079648.545784883,16574519.637074646 
 01/05  19:00:00,20827878.758482628,20827878.75848263,18105640.471942976 
 01/05  20:00:00,20553800.951921456,20553800.951921456,19403169.16482421 
 01/05  21:00:00,20347692.773417972,20347692.773417972,19432746.417636544 
 01/05  22:00:00,18704221.076857924,18704221.076857924,19470850.82486295 
 01/05  23:00:00,17075679.72347965,17075679.72347965,19288149.452555344 
 01/05  24:00:00,15236610.776719939,15236610.776719939,20326824.43703098 
 01/06  01:00:00,12783799.465441678,12783799.465441678,21433407.833643883 
 01/06  02:00:00,12589741.007284334,12589741.007284334,20997516.903682325 
 01/06  03:00:00,11639238.429380868,11639238.429380864,21169691.945674673 
 01/06  04:00:00,11565367.826947447,11565367.826947447,20510268.50008803 
 01/06  05:00:00,12586401.984476406,12586401.984476404,20769636.302617136 
 01/06  06:00:00,13933048.757352676,13933048.757352676,20377341.926916335 
 01/06  07:00:00,18414486.515989587,18414486.515989587,19846152.316810943 
 01/06  08:00:00,15146005.971198991,15146005.97119899,18253246.525373615 
 01/06  09:00:00,12283885.964501083,12283885.964501083,14337512.786676131 
 01/06  10:00:00,12950587.715036968,12950587.715036968,10227867.884870142 
 01/06  11:00:00,10945772.832149524,10945772.832149524,7226962.583672557 
 01/06  12:00:00,10779923.415741926,10779923.415741926,4196821.540543573 
 01/06  13:00:00,10626420.394309029,10626420.394309029,2578507.435767727 
 01/06  14:00:00,9446298.243016582,9446298.24301658,223302.91773107005 
 01/06  15:00:00,9374857.60473798,9374857.60473798,0.0 
 01/06  16:00:00,9621205.874082072,9621205.874082072,0.0 
 01/06  17:00:00,14020285.597857878,14020285.597857878,3250628.9277457846 
 01/06  18:00:00,19073716.66493088,19073716.66493088,5458388.799388494 
 01/06  19:00:00,19930926.712485284,19930926.712485284,6205547.297399258 
 01/06  20:00:00,19530273.037421636,19530273.037421633,6144479.411952425 
 01/06  21:00:00,19001576.82393433,19001576.82393433,7146570.415023005 
 01/06  22:00:00,17755898.422635067,17755898.422635067,8865422.781952646 
 01/06  23:00:00,16859259.38650411,16859259.38650411,10272540.004281625 
 01/06  24:00:00,14273817.018663768,14273817.018663766,12223321.607488297 
 01/07  01:00:00,12385257.80783985,12385257.807839848,13087335.22924371 
 01/07  02:00:00,11365899.89275589,11365899.89275589,13670759.427838804 
 01/07  03:00:00,11979814.059567714,11979814.059567714,13472715.47949278 
 01/07  04:00:00,11414495.930314139,11414495.930314139,13937422.730379846 
 01/07  05:00:00,11459861.60876958,11459861.60876958,15480857.20271021 
