Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,7689494.27466473,7689494.27466473,0.0 
 01/01  02:00:00,7489975.928336109,7489975.92833611,0.0 
 01/01  03:00:00,7514871.122693253,7514871.122693253,0.0 
 01/01  04:00:00,9053131.572047368,9053131.572047366,0.0 
 01/01  05:00:00,8686577.4581466,8686577.4581466,0.0 
 01/01  06:00:00,8487738.744949523,8487738.744949521,0.0 
 01/01  07:00:00,10984877.008721365,10984877.008721365,0.0 
 01/01  08:00:00,9113594.297594668,9113594.297594668,0.0 
 01/01  09:00:00,6912121.787075364,6912121.787075365,0.0 
 01/01  10:00:00,5281571.267212841,5281571.267212841,0.0 
 01/01  11:00:00,5073577.622930577,5073577.622930577,0.0 
 01/01  12:00:00,5737117.815134527,5737117.815134527,0.0 
 01/01  13:00:00,5683722.472708099,5683722.472708099,0.0 
 01/01  14:00:00,4742021.820219722,4742021.820219722,0.0 
 01/01  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  17:00:00,6270598.596677196,6270598.596677196,0.0 
 01/01  18:00:00,8209079.812170357,8209079.8121703565,0.0 
 01/01  19:00:00,8326565.269001321,8326565.269001321,0.0 
 01/01  20:00:00,7621003.939718897,7621003.939718897,0.0 
 01/01  21:00:00,7685046.711437378,7685046.711437378,0.0 
 01/01  22:00:00,8371750.834869813,8371750.834869812,0.0 
 01/01  23:00:00,8029906.626285433,8029906.626285433,0.0 
 01/01  24:00:00,7710916.835695964,7710916.835695964,0.0 
 01/02  01:00:00,10252178.866127731,10252178.866127731,0.0 
 01/02  02:00:00,11261066.245455792,11261066.245455794,0.0 
 01/02  03:00:00,11092829.247405313,11092829.247405313,0.0 
 01/02  04:00:00,10633992.95253707,10633992.95253707,0.0 
 01/02  05:00:00,10489421.00131447,10489421.00131447,0.0 
 01/02  06:00:00,11115376.268216472,11115376.268216472,0.0 
 01/02  07:00:00,50226777.36768907,50226777.36768908,15931370.969611991 
