Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,7668153.71124328,7668153.71124328,0.0 
 01/01  02:00:00,7472140.889208707,7472140.889208706,0.0 
 01/01  03:00:00,7493905.6500599515,7493905.6500599515,0.0 
 01/01  04:00:00,9008885.493268963,9008885.493268963,0.0 
 01/01  05:00:00,8653097.889593389,8653097.889593389,0.0 
 01/01  06:00:00,8457006.423940105,8457006.423940105,0.0 
 01/01  07:00:00,10923933.05889672,10923933.05889672,0.0 
 01/01  08:00:00,9064093.032813068,9064093.032813068,0.0 
 01/01  09:00:00,6888837.295255249,6888837.295255249,0.0 
 01/01  10:00:00,5274346.490856738,5274346.490856738,0.0 
 01/01  11:00:00,5071895.958148418,5071895.958148417,0.0 
 01/01  12:00:00,5733029.749111087,5733029.749111087,0.0 
 01/01  13:00:00,5680434.001950988,5680434.001950988,0.0 
 01/01  14:00:00,4741114.697794612,4741114.697794612,0.0 
 01/01  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  17:00:00,6270598.596677196,6270598.596677196,0.0 
 01/01  18:00:00,8200917.2148995595,8200917.21489956,0.0 
 01/01  19:00:00,8315412.399746241,8315412.39974624,0.0 
 01/01  20:00:00,7607187.316163633,7607187.316163633,0.0 
 01/01  21:00:00,7669691.841223984,7669691.841223986,0.0 
 01/01  22:00:00,8342726.83837442,8342726.838374419,0.0 
 01/01  23:00:00,8009776.461777268,8009776.461777268,0.0 
 01/01  24:00:00,7695190.764468914,7695190.764468914,0.0 
 01/02  01:00:00,10239809.586549915,10239809.586549917,0.0 
 01/02  02:00:00,11225509.557630176,11225509.557630176,0.0 
 01/02  03:00:00,11062390.629822446,11062390.629822446,0.0 
 01/02  04:00:00,10611192.207441753,10611192.207441753,0.0 
 01/02  05:00:00,10470949.919710217,10470949.919710217,0.0 
 01/02  06:00:00,11084194.186042974,11084194.186042974,0.0 
 01/02  07:00:00,45608207.29292923,45608207.292929225,23738604.169876765 
 01/02  08:00:00,50477357.1040204,50477357.1040204,17076723.860999547 
 01/02  09:00:00,46873387.53073692,46873387.53073692,4420777.022451004 
 01/02  10:00:00,44177645.22875615,44177645.22875616,1519458.9853636199 
 01/02  11:00:00,40929711.62525005,40929711.62525006,128418.72995763879 
 01/02  12:00:00,40566220.82636984,40566220.826369844,0.0 
 01/02  13:00:00,38179734.66985461,38179734.66985461,0.0 
 01/02  14:00:00,38772167.70497619,38772167.70497619,0.0 
 01/02  15:00:00,37127209.51068974,37127209.51068975,0.0 
 01/02  16:00:00,39177468.016755894,39177468.016755894,0.0 
