Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,7735260.012537633,7735260.012537633,0.0 
 01/01  02:00:00,7526374.310029839,7526374.310029838,0.0 
 01/01  03:00:00,8189233.095086594,8189233.095086594,0.0 
 01/01  04:00:00,9183282.366484495,9183282.366484493,0.0 
 01/01  05:00:00,8858097.930738095,8858097.930738095,0.0 
 01/01  06:00:00,8642903.943143884,8642903.943143884,0.0 
 01/01  07:00:00,11256288.906540899,11256288.906540897,0.0 
 01/01  08:00:00,9179502.609977635,6050017.417956657,0.0 
 01/01  09:00:00,6866104.648273695,-8174255.544032572,0.0 
 01/01  10:00:00,5300931.829878816,-19126908.76159443,0.0 
 01/01  11:00:00,5090010.979433537,-25371697.311030827,0.0 
 01/01  12:00:00,5758527.164424679,-26516071.58332427,0.0 
 01/01  13:00:00,5699874.650790706,-26281232.190067757,0.0 
 01/01  14:00:00,4778614.9751786105,-23751916.08845713,0.0 
 01/01  15:00:00,4732513.085743089,-17370301.767718807,0.0 
 01/01  16:00:00,4495258.596677196,-8334866.323436927,0.0 
 01/01  17:00:00,6270598.596677196,4330790.66940755,0.0 
 01/01  18:00:00,8143536.590564751,8143536.590564752,0.0 
 01/01  19:00:00,8325044.822205384,8325044.822205383,0.0 
 01/01  20:00:00,7616544.963064322,7616544.963064322,0.0 
 01/01  21:00:00,8336364.3416386675,8336364.3416386675,0.0 
 01/01  22:00:00,8023205.706329977,8023205.706329975,0.0 
 01/01  23:00:00,7766532.230132231,7766532.230132231,0.0 
 01/01  24:00:00,8397522.226004392,8397522.226004392,0.0 
 01/02  01:00:00,10347907.03094395,10347907.030943953,0.0 
 01/02  02:00:00,10902162.111638237,10902162.111638237,0.0 
 01/02  03:00:00,10722154.885461105,10722154.885461105,0.0 
 01/02  04:00:00,12156337.264412541,12156337.264412541,0.0 
 01/02  05:00:00,10720340.454096522,10720340.454096522,0.0 
 01/02  06:00:00,10462689.027219465,10462689.027219467,0.0 
 01/02  07:00:00,50658295.85955251,50658295.85955251,16454533.891684396 
 01/02  08:00:00,55227911.61649601,52104076.154206336,9224533.310978908 
 01/02  09:00:00,49860083.96959347,34832217.79588615,287049.95541413856 
 01/02  10:00:00,46116418.395927064,21780763.678783942,0.0 
 01/02  11:00:00,42091116.52733448,13609731.15154988,0.0 
 01/02  12:00:00,41681706.15760082,18116437.277827002,0.0 
 01/02  13:00:00,38932442.70630848,23102422.68596266,0.0 
 01/02  14:00:00,39768865.90109852,30208483.06870285,0.0 
 01/02  15:00:00,38004646.42313945,32402845.245585162,0.0 
 01/02  16:00:00,40167321.197840795,37590697.642228186,0.0 
 01/02  17:00:00,41717883.51656741,40961987.28359243,0.0 
 01/02  18:00:00,44940408.799096,44940408.799096,0.0 
 01/02  19:00:00,40548888.11303218,40548888.11303218,0.0 
 01/02  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/02  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/02  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/02  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/03  01:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  02:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  03:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  04:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  05:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  06:00:00,9469604.825749658,9469604.82574966,0.0 
 01/03  07:00:00,48387604.05156016,48387604.051560156,7501326.0234069275 
 01/03  08:00:00,55274870.46713424,52211793.49371266,5598199.383612507 
 01/03  09:00:00,46866866.313266754,32094088.745802905,0.0 
 01/03  10:00:00,40577919.202535845,16981161.45101924,0.0 
 01/03  11:00:00,35366295.619539574,6674086.613796854,0.0 
 01/03  12:00:00,34061188.24066304,2469219.4763343954,0.0 
 01/03  13:00:00,29929360.581509527,-1412717.8509322442,0.0 
 01/03  14:00:00,32100104.18202477,4217592.49568005,0.0 
 01/03  15:00:00,30592394.652928255,8818925.34215674,0.0 
 01/03  16:00:00,31950463.41680357,19247195.69677299,0.0 
 01/03  17:00:00,34592145.11282302,32620076.285051692,0.0 
 01/03  18:00:00,35066202.452936515,35066202.452936515,0.0 
 01/03  19:00:00,34635865.96800303,34635865.96800303,0.0 
 01/03  20:00:00,10883935.254119202,10883935.254119204,0.0 
 01/03  21:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  22:00:00,9899331.820964705,9899331.820964705,0.0 
 01/03  23:00:00,9013188.731125657,9013188.731125657,0.0 
 01/03  24:00:00,7265454.451684226,7265454.451684226,0.0 
 01/04  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/04  07:00:00,7595938.596677196,7595938.596677196,0.0 
 01/04  08:00:00,5945428.596677196,4928966.902116178,0.0 
 01/04  09:00:00,5395258.596677196,1259457.0725263138,0.0 
 01/04  10:00:00,5395258.596677196,1862320.455944892,0.0 
 01/04  11:00:00,5395258.596677196,133858.83039584427,0.0 
 01/04  12:00:00,5395258.596677196,1769570.9459766417,0.0 
 01/04  13:00:00,5395258.596677196,2073258.2454766473,0.0 
 01/04  14:00:00,5395258.596677196,2510200.3642618572,0.0 
 01/04  15:00:00,5395258.596677196,3344700.3432636745,0.0 
 01/04  16:00:00,5395258.596677196,4358587.593231782,0.0 
 01/04  17:00:00,6495598.596677196,6317936.807963868,0.0 
 01/04  18:00:00,7595938.596677196,7595938.596677196,0.0 
 01/04  19:00:00,7595938.596677196,7595938.596677196,0.0 
 01/04  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/04  21:00:00,7618897.002356331,7618897.002356331,300717.9698675334 
 01/04  22:00:00,7607715.419417276,7607715.419417276,502937.2476610309 
 01/04  23:00:00,8719559.019192312,8719559.019192312,1273596.8165255412 
 01/04  24:00:00,8901431.514324885,8901431.514324885,1410784.5890584115 
 01/05  01:00:00,9074604.427976921,9074604.427976921,2735877.506566191 
 01/05  02:00:00,9485142.007776247,9485142.00777625,2593740.0781442695 
 01/05  03:00:00,9017597.95352055,9017597.953520551,3337482.0108825658 
 01/05  04:00:00,9831610.694969468,9831610.694969468,4554502.91572537 
 01/05  05:00:00,9503199.403654292,9503199.403654292,3332346.8904064274 
 01/05  06:00:00,9017597.95352055,9017597.953520551,4174492.9663683977 
 01/05  07:00:00,11023210.694969468,11023210.694969468,6279854.418322938 
 01/05  08:00:00,9044289.403654292,8686031.34993698,4570011.87139732 
 01/05  09:00:00,9017447.059548043,6736888.767724832,5205603.393953072 
 01/05  10:00:00,9611801.876633575,1489293.77026347,6797641.624971618 
 01/05  11:00:00,8475981.704449568,-10894762.945507744,3471311.5247293008 
 01/05  12:00:00,8008517.953520551,-1393931.9675941968,3522425.305538755 
 01/05  13:00:00,8822530.694969468,-7180694.702401356,4161715.214019648 
