Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,42805369.74910779,42805369.74910779,98825688.0179323 
 01/01  02:00:00,14940454.278819323,14940454.278819323,9928834.732080001 
 01/01  03:00:00,17709972.588109292,17709972.588109292,13187284.09812 
 01/01  04:00:00,14692673.835704362,14692673.835704362,9928834.732080001 
 01/01  05:00:00,23817535.29430002,23817535.29430002,19704182.8302 
 01/01  06:00:00,63437997.02235329,63437997.0223533,256515618.38438505 
 01/01  07:00:00,75736682.93865427,75736682.93865429,241476425.57069775 
 01/01  08:00:00,77016419.80092889,77016419.80092889,255649090.659947 
 01/01  09:00:00,84769179.8600107,84769179.8600107,212219205.72479105 
 01/01  10:00:00,92044526.56868438,92044526.56868438,152153357.02545255 
 01/01  11:00:00,117476380.53355563,117476380.53355564,192782304.32384616 
 01/01  12:00:00,128976597.03484017,128976597.03484018,207121955.3648454 
 01/01  13:00:00,117745657.12099077,117745657.12099077,177254755.964846 
 01/01  14:00:00,111514765.9039182,111514765.90391824,159365905.2583236 
 01/01  15:00:00,103128461.5379364,103128461.5379364,150044008.95961508 
 01/01  16:00:00,103393477.94003397,103393477.94003397,155198943.2753169 
 01/01  17:00:00,115889213.0447754,115889213.0447754,184139483.607796 
 01/01  18:00:00,123207814.49424572,123207814.49424571,233955293.37289628 
 01/01  19:00:00,120137499.07306266,120137499.07306266,251074863.4441442 
 01/01  20:00:00,114562976.33355454,114562976.33355454,244701979.61834547 
 01/01  21:00:00,106266978.81464747,106266978.81464747,236541812.25758025 
 01/01  22:00:00,103510898.87289195,103510898.87289195,256124854.55051357 
 01/01  23:00:00,73231719.20325775,73231719.20325777,228908890.68914986 
 01/01  24:00:00,50836727.9677243,50836727.96772429,196928270.11883074 
 01/02  01:00:00,41293715.57982968,41293715.57982968,129735716.23911917 
 01/02  02:00:00,15122699.834363354,15122699.834363354,9928834.732080001 
 01/02  03:00:00,17519431.53237931,17519431.53237931,13187284.09812 
 01/02  04:00:00,14686526.899637174,14686526.899637174,9928834.732080001 
 01/02  05:00:00,24149694.693323605,24149694.693323605,27417046.921692565 
 01/02  06:00:00,64891825.5016645,64891825.501664504,240911820.54670495 
