Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,56228247.218191236,56228247.218191236,80396299.84595338 
 01/01  02:00:00,22939972.38491624,22939972.38491624,9928834.732080001 
 01/01  03:00:00,28494613.217244938,28494613.217244938,13187284.09812 
 01/01  04:00:00,22997326.24541022,22997326.24541022,9928834.732080001 
 01/01  05:00:00,47637833.73696126,47637833.73696126,19704182.8302 
 01/01  06:00:00,102645708.97743216,102645708.97743216,220450739.95749414 
 01/01  07:00:00,118204518.26491301,118204518.26491301,217311653.74976826 
 01/01  08:00:00,125080028.4149108,125080028.4149108,215317003.2425904 
 01/01  09:00:00,141092183.20398062,141092183.20398062,162433911.11320025 
 01/01  10:00:00,156981338.17366844,156981338.17366847,119167961.95048437 
 01/01  11:00:00,197406054.11020535,197406054.11020538,167320585.28455228 
 01/01  12:00:00,217419728.09400237,217419728.09400237,178280460.997392 
 01/01  13:00:00,200096122.36433142,200096122.36433145,147973307.83902067 
 01/01  14:00:00,188543571.4852665,188543571.4852665,134724794.6010856 
 01/01  15:00:00,174341092.02748778,174341092.0274878,124582189.90521921 
 01/01  16:00:00,174561058.64013496,174561058.64013496,132732827.5997704 
 01/01  17:00:00,195551651.3433491,195551651.3433491,149502881.23178136 
 01/01  18:00:00,202426818.42693287,202426818.42693287,182503021.0577568 
 01/01  19:00:00,193748154.5847268,193748154.58472687,192257128.64644665 
 01/01  20:00:00,182538738.61884022,182538738.61884025,185071847.78745052 
 01/01  21:00:00,168096130.53811342,168096130.53811342,177893397.88515228 
 01/01  22:00:00,159664914.01566708,159664914.01566708,201756538.6634035 
 01/01  23:00:00,103918428.46905948,103918428.46905947,187919690.0323955 
 01/01  24:00:00,64013835.57008399,64013835.570084,167123198.22061357 
 01/02  01:00:00,54714136.40380835,54714136.40380834,101604650.43124299 
 01/02  02:00:00,22938511.856358707,22938511.856358707,9928834.732080001 
 01/02  03:00:00,28489639.271607332,28489639.271607332,13187284.09812 
 01/02  04:00:00,22803527.923074268,22803527.923074268,9928834.732080001 
 01/02  05:00:00,47654104.03661717,47654104.036617175,19704182.8302 
 01/02  06:00:00,104240126.39749658,104240126.39749658,204742309.38415015 
 01/02  07:00:00,120150812.49690275,120150812.49690275,199001300.33416086 
 01/02  08:00:00,138126446.9164309,138126446.9164309,263180836.51326922 
 01/02  09:00:00,153264556.96261132,153264556.96261132,228583108.75021875 
 01/02  10:00:00,167482860.36079425,167482860.36079428,214555058.07865858 
 01/02  11:00:00,197477921.30349475,197477921.30349475,204067644.62997407 
 01/02  12:00:00,218383570.34762135,218383570.34762135,199933547.06648093 
 01/02  13:00:00,202514175.496919,202514175.49691904,168135741.44425923 
 01/02  14:00:00,189823404.63728154,189823404.63728154,166444127.7897907 
 01/02  15:00:00,177237360.60552514,177237360.6055252,165224715.23454744 
 01/02  16:00:00,177415743.72946316,177415743.72946316,175530876.5463 
 01/02  17:00:00,200276825.6390463,200276825.6390463,189264170.51725858 
 01/02  18:00:00,206821174.01723257,206821174.0172326,203849377.19701177 
 01/02  19:00:00,199205670.76589617,199205670.76589614,200169107.54858518 
 01/02  20:00:00,189432738.37751833,189432738.37751833,217677859.12996453 
 01/02  21:00:00,175418607.22777107,175418607.22777107,210586792.70287555 
 01/02  22:00:00,165471160.98768705,165471160.98768705,240083901.1959839 
 01/02  23:00:00,105775836.41247566,105775836.41247566,232002226.39317334 
 01/02  24:00:00,66160472.44284273,66160472.44284274,207369514.4976731 
 01/03  01:00:00,54763224.565279804,54763224.565279804,117170383.44313419 
 01/03  02:00:00,23112777.90165657,23112777.90165657,9928834.732080001 
 01/03  03:00:00,28476750.749887854,28476750.749887854,13187284.09812 
 01/03  04:00:00,22791917.761608344,22791917.761608344,9928834.732080001 
 01/03  05:00:00,50477479.20110489,50477479.20110489,19704182.8302 
 01/03  06:00:00,106512756.11758424,106512756.11758424,251593920.33200964 
 01/03  07:00:00,121834833.28512822,121834833.28512822,253658054.07988644 
 01/03  08:00:00,139122788.02849567,139122788.0284957,312924843.0258205 
 01/03  09:00:00,153922511.97561654,153922511.97561657,272867131.3523777 
 01/03  10:00:00,167625542.85474402,167625542.85474402,211412689.73766565 
 01/03  11:00:00,197119891.46093702,197119891.46093702,198120714.97376865 
 01/03  12:00:00,217678256.88082397,217678256.88082403,161151031.5747673 
 01/03  13:00:00,201938345.25992033,201938345.25992036,149539027.10449147 
 01/03  14:00:00,189097790.65663055,189097790.65663058,122661866.76846385 
 01/03  15:00:00,176023943.06746635,176023943.06746638,118884551.38641165 
 01/03  16:00:00,176238724.79115152,176238724.79115155,131382446.03393343 
 01/03  17:00:00,199041961.46253067,199041961.46253073,152028089.5744604 
 01/03  18:00:00,206709061.2414379,206709061.2414379,184526350.5931236 
 01/03  19:00:00,199351901.57847214,199351901.57847214,215690947.02688563 
 01/03  20:00:00,189488478.687599,189488478.68759903,233949776.87070474 
 01/03  21:00:00,175349356.9612309,175349356.9612309,233287402.9035566 
 01/03  22:00:00,165444610.4555579,165444610.45555788,243167252.8725205 
 01/03  23:00:00,105887987.31017627,105887987.31017627,238314175.21014982 
 01/03  24:00:00,66384932.84343843,66384932.84343844,222762469.38233572 
 01/04  01:00:00,55518201.51777252,55518201.517772526,118550298.7033774 
 01/04  02:00:00,23125059.980530977,23125059.980530977,12562234.03425347 
 01/04  03:00:00,28500503.036970057,28500503.036970057,13187284.09812 
 01/04  04:00:00,22818347.55579075,22818347.55579075,9928834.732080001 
 01/04  05:00:00,47753174.65798413,47753174.65798413,19704182.8302 
 01/04  06:00:00,103137831.70565288,103137831.7056529,229252634.24755934 
 01/04  07:00:00,118595233.96377566,118595233.96377566,230940379.2194968 
 01/04  08:00:00,125454367.13546127,125454367.13546127,231488015.30660892 
 01/04  09:00:00,143425840.05161953,143425840.05161953,229625015.4684566 
 01/04  10:00:00,170055246.02806935,170055246.02806935,272227102.7421833 
 01/04  11:00:00,199451628.85842684,199451628.85842684,281709719.30976534 
 01/04  12:00:00,220614121.2814924,220614121.2814924,288969832.3257297 
 01/04  13:00:00,206733114.75281414,206733114.75281417,297538830.8369517 
 01/04  14:00:00,193959626.13751397,193959626.137514,294751381.32939416 
 01/04  15:00:00,182093245.84775642,182093245.84775642,290132999.2097071 
 01/04  16:00:00,183635052.70076278,183635052.70076278,303033315.3018435 
