Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),NaturalGas:Facility [J](Hourly) 
 01/01  01:00:00,44699406.22720184,44699406.22720184,98180180.24135986 
 01/01  02:00:00,14941917.752693754,14941917.752693754,9928834.732080001 
 01/01  03:00:00,17712590.07687783,17712590.07687783,13187284.09812 
 01/01  04:00:00,14695388.789143972,14695388.789143972,9928834.732080001 
 01/01  05:00:00,23393586.44173039,23393586.44173039,19704182.8302 
 01/01  06:00:00,23462747.139254775,23462747.139254775,19704182.8302 
 01/01  07:00:00,24844514.23698293,24844514.23698293,19704182.8302 
 01/01  08:00:00,23004958.918957,23004958.918957,19704182.8302 
 01/01  09:00:00,22087171.099477354,22087171.09947735,19704182.8302 
 01/01  10:00:00,22129357.57972243,22129357.57972243,19704182.8302 
 01/01  11:00:00,29195430.663685635,29195430.66368563,19704182.8302 
 01/01  12:00:00,61217437.45164245,61217437.45164246,121193586.2486541 
 01/01  13:00:00,75798646.71298586,75798646.71298586,136752218.32537645 
 01/01  14:00:00,81030370.21144125,81030370.21144126,150131387.25243756 
 01/01  15:00:00,89000429.32437581,89000429.32437581,143073849.1039651 
 01/01  16:00:00,97874441.49794112,97874441.4979411,157149269.27719447 
 01/01  17:00:00,117892734.86886919,117892734.86886917,187357027.69145206 
 01/01  18:00:00,127792511.50985546,127792511.50985548,231653309.2554626 
 01/01  19:00:00,122078869.53782935,122078869.53782937,250272701.33800888 
 01/01  20:00:00,116687765.50509071,116687765.50509071,246062516.15312064 
 01/01  21:00:00,108324010.49465606,108324010.49465606,233019718.08204913 
 01/01  22:00:00,105396910.12339231,105396910.1233923,254109276.23005718 
 01/01  23:00:00,75269743.7142773,75269743.7142773,226833856.7939407 
 01/01  24:00:00,52972266.402899474,52972266.402899474,194709103.3895104 
 01/02  01:00:00,43177229.91098139,43177229.91098138,127934706.89848703 
 01/02  02:00:00,14937199.725651804,14937199.725651804,9928834.732080001 
