latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
50.584,5.568,241.0,3600,Europe/Berlin,GMT+1

time,weather_code (wmo code),temperature_2m_max (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),uv_index_max (),uv_index_clear_sky_max (),rain_sum (mm),showers_sum (mm),snowfall_sum (cm),precipitation_sum (mm),precipitation_hours (h),precipitation_probability_max (%),temperature_2m_min (°C)
2022-01-01,3,13.2,10.9,6.6,21.7,39.6,194,3.47,0.64,2022-01-01T08:38,2022-01-01T16:43,29083.66,23133.50,1.10,1.25,0.00,0.00,0.00,0.00,0.0,NaN,9.2
2022-01-02,55,11.6,8.0,4.0,37.4,73.8,215,3.45,1.13,2022-01-02T08:38,2022-01-02T16:44,29150.36,18580.04,1.00,1.25,4.80,1.90,0.00,4.80,12.0,NaN,9.5
2022-01-03,61,9.4,6.0,3.2,30.2,62.3,235,1.40,0.48,2022-01-03T08:38,2022-01-03T16:45,29222.74,0.00,0.50,1.20,13.30,2.50,0.00,13.30,14.0,NaN,7.8
2022-01-04,61,8.6,6.5,0.9,21.3,41.8,231,1.00,0.24,2022-01-04T08:38,2022-01-04T16:46,29301.61,0.00,0.80,1.20,14.90,1.10,0.00,14.90,22.0,NaN,4.4
2022-01-05,71,3.8,-0.9,-5.7,29.1,54.4,266,2.30,0.37,2022-01-05T08:38,2022-01-05T16:47,29386.92,10161.39,0.45,1.20,4.00,0.30,0.28,4.40,7.0,NaN,-0.2
2022-01-06,51,3.5,-0.2,-3.8,22.1,41.4,231,3.24,0.32,2022-01-06T08:37,2022-01-06T16:49,29478.44,19147.75,1.30,1.30,0.70,1.20,0.00,0.70,5.0,NaN,0.2
2022-01-07,73,3.8,-1.0,-4.4,27.6,52.2,210,1.48,0.36,2022-01-07T08:37,2022-01-07T16:50,29575.93,0.00,0.25,1.20,4.10,0.30,0.49,4.80,17.0,NaN,0.9
2022-01-08,73,5.3,-0.2,-4.9,31.1,61.9,202,1.32,0.27,2022-01-08T08:36,2022-01-08T16:51,29679.16,0.00,1.00,1.30,7.10,0.10,0.70,8.10,14.0,NaN,-0.4
2022-01-09,63,5.6,0.7,-4.3,34.7,67.0,259,3.34,0.42,2022-01-09T08:36,2022-01-09T16:52,29787.89,18809.18,0.50,1.20,10.00,0.40,0.00,10.00,9.0,NaN,-1.0
2022-01-10,3,3.2,0.1,-6.1,10.5,21.2,172,4.47,0.35,2022-01-10T08:35,2022-01-10T16:54,29901.88,21910.00,1.35,1.35,0.00,0.00,0.00,0.00,0.0,NaN,-2.2
2022-01-11,3,4.3,0.7,-6.8,11.3,21.6,170,4.64,0.38,2022-01-11T08:35,2022-01-11T16:55,30020.91,25129.08,1.30,1.40,0.00,0.00,0.00,0.00,0.0,NaN,-2.6
2022-01-12,3,2.3,-0.2,-6.1,9.7,18.7,195,1.18,0.20,2022-01-12T08:34,2022-01-12T16:57,30144.73,0.00,0.95,1.35,0.00,0.00,0.00,0.00,0.0,NaN,-2.3
2022-01-13,3,6.4,3.8,-4.9,8.4,15.8,219,4.67,0.43,2022-01-13T08:34,2022-01-13T16:58,30273.12,25221.24,1.45,1.45,0.00,0.00,0.00,0.00,0.0,NaN,-1.4
2022-01-14,1,6.8,4.1,-6.6,9.0,14.4,196,5.14,0.50,2022-01-14T08:33,2022-01-14T17:00,30405.84,25659.86,1.45,1.45,0.00,0.00,0.00,0.00,0.0,NaN,-3.3
2022-01-15,3,7.2,4.8,-6.9,13.0,24.1,159,5.26,0.52,2022-01-15T08:32,2022-01-15T17:01,30542.68,24741.07,1.45,1.45,0.00,0.00,0.00,0.00,0.0,NaN,-3.6
2022-01-16,71,3.3,-1.4,-4.2,21.6,41.0,222,1.30,0.21,2022-01-16T08:31,2022-01-16T17:03,30683.41,0.00,0.35,1.40,0.70,0.00,0.14,0.90,2.0,NaN,-0.3
2022-01-17,3,4.5,1.8,-1.6,19.2,39.2,264,1.65,0.23,2022-01-17T08:30,2022-01-17T17:04,30827.81,3598.74,1.30,1.50,0.00,0.00,0.00,0.00,0.0,NaN,2.2
2022-01-18,3,6.7,4.2,-3.3,9.0,17.3,53,2.18,0.30,2022-01-18T08:29,2022-01-18T17:06,30975.67,6509.08,1.35,1.55,0.00,0.00,0.00,0.00,0.0,NaN,0.0
2022-01-19,51,4.8,1.1,-3.7,18.5,35.6,228,1.44,0.23,2022-01-19T08:28,2022-01-19T17:07,31126.76,1562.50,0.95,1.45,1.30,0.20,0.00,1.30,5.0,NaN,-0.1
2022-01-20,73,3.7,-0.1,-4.5,20.4,40.0,309,3.89,0.39,2022-01-20T08:28,2022-01-20T17:09,31280.90,21600.00,1.20,1.55,2.10,2.40,0.42,2.70,13.0,NaN,-0.4
2022-01-21,71,4.0,-0.0,-5.0,15.5,29.5,288,3.04,0.32,2022-01-21T08:26,2022-01-21T17:11,31437.87,13412.25,1.40,1.55,0.90,0.00,0.35,1.40,9.0,NaN,-1.1
2022-01-22,51,5.1,1.8,-1.9,14.6,28.4,281,1.84,0.26,2022-01-22T08:25,2022-01-22T17:12,31597.47,0.00,1.50,1.60,0.10,0.00,0.00,0.10,1.0,NaN,1.8
